Origem do Pedido,Marca,UNIDADE,Data de solicitação,Data da compra,CNPJ,ITEM,Nº do Pedido,Comprador,Nº cotações,Fornecedor,Previsão de Entrega,Pedido Recebido na Unidade,Status da Entrega,Valor,Natureza do Item,Natureza Orçamentária,Centro de Custo,Condição de Pgto.,Observação,NF,Forma de Pagto,Fluig,Data de Pagamento,Competencia certa?,Pagamento realizado com multa?,Valor da multa,Data da Aprovação,Responsável Pgto,Ocorrência,Mês da Ocorrência,Nova data de entrega,Situação,Mês,Mês2,Ano,SLA Pedidos Emergenciais,,,,,,,,,,,,,,,,,,,,,
Emergencial,Nosso CEI,Nosso CEI Romualdo,10/01/2024,,12.753.752/0001-02,Material GR,,Julliene,,Rythmoon,,,,4.886,Ativos,MAT ESPORTIVO,Escola - Unidade,7 dias,,415953,Boleto,1000668,,,,,,Julliene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Nosso CEI,Nosso CEI Romualdo,10/01/2024,,12.753.752/0001-02,Ventilador e Caixa organizadora,,Julliene,,Kleper,,,,942,Ativos,Equipamentos em Geral,Escola - Unidade,28 dias,,06201,Boleto,1000965,,,,,,Julliene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emergencial,Nota 10,Nota 10 Internacional Dourados ,10/01/2024,,08.656.116/0001-95,Caixa de som passiva,14511,Luã,,Rapidex,,,,697,Ativos,Equipamentos em Geral,Escola - Unidade,28 dias,,14770,Boleto,1004597,,,,,,Julliene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,43918606,Depósito,1013916,,,,,,Caroline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NU BF e M&A,Anglo Alante,Anglo Alante Butantã,10/01/2024,,07.123.195/0001-06,Geodésica,13917,Andreia Grings,,Paradome,,, ,3.250,equipamentos em geral,Obra de Ampliação,escola - Unidade,14 dias,,00495,Boleto,1001334,,,,,,Andreia,,,,,,1/,,-1,,,,,,,,,,,,,,,,,,,,,
NU BF e M&A,pH,pH Tijuca 1,10/01/2024,,40.345.365/0001-72,,,Andreia Grings,,IUDY MAKINO,,, ,650,melhoria,obra de reforma,escola - Unidade,,,00233,Boleto,1006796,,,,,,Patrícia,,,,,,1/,,-1,,,,,,,,,,,,,,,,,,,,,
Emergencial,Pensi,Pensi Ilha do Governador,10/01/2024,,15.436.467/0001-56,,,,,Rapidex,,, ,741,Ativos,Equipamentos em Geral,,,,14648,Depósito,1000719,,,,,,Patrícia,,,,,,1/,,-1,,,,,,,,,,,,,,,,,,,,,
Emergencial,Integrado,Integrado Kids Flamboyant,10/01/2024,,04.231.581/0001-23 e 25.138.627/0001-34 (Faturamento),,,,,Rapidex,,, ,752,Ativos,Equipamentos em Geral,Escola - Unidade,28 DIAS,,14624,Depósito,1000733,,,,,,Patrícia,,,,,,1/,,-1,,,,,,,,,,,,,,,,,,,,,
Emergencial,Integrado,Integrado Areião,10/01/2024,,02.852.848/0003-36,,,,,Rapidex,,, ,3.526,Ativos,Equipamentos em Geral,Escola - Unidade,28 DIAS,,14742,Depósito,1004134,,,,,,Patrícia,,,,,,1/,,-1,,,,,,,,,,,,,,,,,,,,,
Emergencial,Integrado,Integrado Jaó,10/01/2024,,02.852.848/0001-74,,,,,Rapidex,,, ,3.526,Ativos,Equipamentos em Geral,Escola - Unidade,28 DIAS,,14741,Depósito,1004142,,,,,,Patrícia,,,,,,1/,,-1,,,,,,,,,,,,,,,,,,,,,
Emergencial,Pensi,Pensi Icaraí 1,10/01/2024,,05.924.764/0001-97,radio e danduicheira,974016/974017,Patrício Luã,, ,,, ,"R$ 619,9",Ativos,Equipamentos em Geral,Escola - Unidade,28 Dias,,06314,Boleto,998630,,,,,,Patrícia,,,,,,1/,,-1,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Coleguium,Coleguium Jardim Canadá,11/12/2023,12/12/2023,19.213.316/0016-76,,14950,Patrício Luã,,comercial Ynoffice,,, ,,,,,,,8954889,Boleto,1006016,,,,,,Caroline,,,,,12,dezembro,2023,1,,,,,,,,,,,,,,,,,,,,,
Emergencial,pH,pH Icaraí 3,10/01/2024,,40.345.365/0017-30,Lixeira Plástica Pedal 5L,983298,Patrício Luã,,GRX,,,,412,Ativos,Equipamentos em Geral,Escola - Unidade,28 Dias,,00777,Depósito,1003269,,,,,,Patrício Luã,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emergencial,pH,pH Freguesia,10/01/2024,,40.345.365/0016-59,Cortadora Lazer ,984117B,Patrício Luã,,Brotherhood,,,,11.499,Ativos,Equipamentos em Geral,Escola - Unidade,28 Dias,,02077,Boleto,1003328,,,,,,Patrício Luã,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emergencial,Pensi,Pensi Freguesia,27/06/2024,,07.804.419/0001-45,MESA DE FUTMESA,1025486,Patrício Luã,,OPS,,,,3.900,Ativos,Equipamentos em Geral,Escola - Unidade,,,00571,Depósito,1040645,,,,,,Patrícia,,,,,6,junho,2024,-1,,,,,,,,,,,,,,,,,,,,,
NU BF e M&A,pH,pH Jockey,10/01/2024,,40.345.365/0010-63,Material Laboratório ,,Patrício Luã,,Gilson Comercio,,,,18.530,Ativos,Equipamentos em Geral,Escola - Unidade,28 Dias,,03837,Depósito,1003330,,,,,,Patrício Luã,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NU BF e M&A,pH,pH Jockey,10/01/2024,,40.345.365/0010-63,Material Laboratório ,,Patrício Luã,,Gilson Comercio,,,,5.553,Ativos,Equipamentos em Geral,Escola - Unidade,28 Dias,,03839,Depósito,1003333,,,,,,Patrício Luã,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emergencial,Integrado,Integrado Areião,10/01/2024,,02.852.848/0003-36,Bomba de encher penalty,13890,julliene Serapião,,solution,,,,122,Ativos,Mat. esportivo,Escola - Unidade,28 dias,,9030470,Boleto,1004089,,,,,,Julliene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Lato Sensu,Lato Sensu Adrianópolis,10/01/2024,,29.445.572/0001-66,Trocador de Fraldas,13879,julliene Serapião,,solution,,,,690,Ativos,Equipamentos em Geral,Escola - Unidade,28 dias,,9031303,Boleto,1004324,,,,,,Julliene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emergencial,pH,pH Tijuca 1,10/01/2024,,40.345.365/0001-72,Piso + túnel parquinho,13920,Andreia Grings,,RUBBER BRASIL ESPECIALISTAS EM PISOS EMBORRACHADOS,,,,67.672,Ativos,Obra de ampliação,Escola - Unidade,28 dias,Parcelado em 2 x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emergencial,Salta,Salta Central Rodrigo de Brito,10/01/2024,,17.765.891/0001-70,Suporte ao fluig de compras - CRM,,Fábio do Vale,,CRM,,,,5.413,Outros,Anuidade/Mensalidade de Software,Holding Compras e contratos,15 dias,,05906,Depósito,1009217,,,,,,Fábio do Vale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NU BF e M&A,pH,pH Freguesia,10/01/2024,,40.345.365/0016-59,53 Livros ,12260,Patrício Luã,,Scolados,,,,3.323,Ativos,Obra de amplaição,Escola - Unidade,,,08925,Depósito,1011913,,,,,,Paula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NU BF e M&A,pH,pH Jockey,10/01/2024,,40.345.365/0010-63,Lista de Livros Biblioteca 377 livros,12210,Patrício Luã,,Scolados,,,,497,Ativos,Obra de amplaição,Escola - Unidade,,,09094,Depósito,1011919,,,,,,Paula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emergencial,pH,pH Jockey,19/04/2024,03/05/2024,40.345.365/0010-63,BATERIA INTELBRAS,,Patrício Luã,3,Bestinfo,,,,122,Ativos,Equipamentos em Geral,,,,06802,Boleto,1033285,,,,,,Patrícia,,,,,4,abril,2024,10,,,,,,,,,,,,,,,,,,,,,
NU BF e M&A,pH,pH Jockey,10/01/2024,,40.345.365/0010-63,Lista de Livros Biblioteca 377 livros,12210,Patrício Luã,,Scolados,,,,19.099,Ativos,Obra de amplaição,Escola - Unidade,,,09229,Depósito,1011925,,,,,,Paula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emergencial,pH,pH Jockey,19/04/2024,03/05/2024,40.345.365/0010-63,GUILHOTINA,983552,Patrício Luã,3,Gilson Comercio,,,,2.739,Ativos,Equipamentos em Geral,,,,,,,,,,,,,,,,,4,abril,2024,10,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,Ativos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emergencial,ECSA,ECSA Cuiabá,04/04/2024,30/04/2024,01.853.472/0001-50,PROJETOR - BENQ (127V),971688,julliene Serapião,Julliene Serapião,JRC,02/01/1900,3,COMERCIAL JRC,8.580,Ativos,Equipamento em Geral,Escola - Unidade,,,02468,Boleto,1015796,,,,,,julliene,abril,45388,08/04/2024,1,4,abril,2024,#REF!,,,,,,,,,,,,,,,,,,,,,
Emergencial,ISO,ISO Sul,10/01/2024,,27.358.371/0003-68,Caixa de Som,1000072,julliene Serapião,,TOCMIX,,,,3.290,Ativos,Equipamento em Geral,Escola - Unidade,,,31163,Boleto,1016703,,,,,,julliene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emergencial,Nosso CEI,Nosso CEI Romualdo,10/01/2024,,12.753.752/0001-02,Uno,972351,julliene Serapião,,Casa Norte,,,,665,Ativos,Equipamento em Geral,Escola - Unidade,,,1777990,Boleto,1016707,,,,,,Julliene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emergencial,Nosso CEI,Nosso CEI Romualdo,,,12.753.752/0001-02,,972351,julliene Serapião,,Casa da  educação,,,,2.150,Ativos,Equipamento em Geral,Escola - Unidade,,,40390,Boleto,1033283,,,,,,Patrícia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emergencial,Nosso CEI,Nosso CEI Romualdo,05/04/2024,20/05/2024,12.753.752/0001-02,Gelágua coluna 2 torneiras 220v,,Julliene Serapião,4,FERREIRA COSTA,,,,1.598,Ativos,Equipamentos em Geral,Escola - Unidade,28 DIAS,,175093,Depósito,1041076,,,,,,Patrícia,,,,,4,abril,2024,31,,,,,,,,,,,,,,,,,,,,,
Emergencial,pH,pH Icaraí 3,10/01/2024,,40.345.365/0017-30,Barreira para Treinamento,14712,Patrício Luã,,Nacif,,,,230,Ativos,Mat esportivo,Escola - Unidade,,,13138,Depósito,1017028,,,,,,Patrício Luã,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emergencial,Pensi,Pensi Petrópolis,10/01/2024,,22.613.895/0002-53,Corda em seda/ Peteca,14710,Patrício Luã,,Nacif,,,,120,Ativos,Mat esportivo,Escola - Unidade,,,13137,Boleto,1017032,,,,,,Patrício Luã,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nosso CEI,Nosso CEI Romualdo,10/01/2024,,12.753.752/0001-02,,,julliene Serapião,,Yumed,,,,7.640,Ativos,Equipamento em Geral,Escola - Unidade,,,00221,Boleto,1029413,,,,,,Paula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NU BF e M&A,Anglo Alante,Anglo Alante Butantã,10/01/2024,,07.123.195/0001-06,Playground casa do tarzan,13905,Andreia Grings,,Kaska,,,,"R$ 24.155,00",Ativos,Obra de Ampliação,Escola - Unidade,,,02368,Boleto,1033275,,,,,,Patrícia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,pH,pH Freguesia,10/01/2024,,40.345.365/0016-59,1 Geladeira,,Patrício Luã,,GRX,,,,3.578,Ativos,Equipamento em Geral,Escola - Unidade,5 DIAS,Referente a troca de NF (Pensi Freguesia x pH Freguesia),00819,Depósito,1022772,,,,,,Patrício Luã,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Pensi,Pensi Ilha do Governador,10/01/2024,,15.436.467/0001-56,Rádio Comunicador,,Patrício Luã,,GRX,,,,1.191,Ativos,Equipamento em Geral,Escola - Unidade,5 DIAS,Referente a troca de NF (Elite Ilha x Pensi Ilha),00818,Depósito,1022777,,,,,,Patrício Luã,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Elite,Elite Ilha do Governador,10/01/2024,,14.011.425/0018-59,,,Patrício Luã,,GRX,,,,150,Ativos,Eletrodomestico,Escola - Unidade,5 DIAS,,00879,Depósito,1042962,,,,,,Patrícia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,pH,pH Piratininga,10/01/2024,,40.345.365/0012-25,Mat Pedagógico,,Patrício Luã,,Gil Comércio,,,,8.349,Outros,Mat Pedagógico,Escola - Unidade,15 DIAS,Mat Pedagógico da Janela de ativos/ Aprovado por Ana Helena,03885,Depósito,1027146,,,,,,Patrício Luã,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,pH,pH Freguesia,10/01/2024,,40.345.365/0016-59,Mat Pedagógico,,Patrício Luã,,Gil Comércio,,,,3.417,Outros,Mat Pedagógico,Escola - Unidade,15 DIAS,Mat Pedagógico da Janela de ativos/ Aprovado por Ana Helena,03886,Depósito,1027147,,,,,,Patrício Luã,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,pH,pH Barra,10/01/2024,,40.345.365/0006-87 e 40.345.365/0004-15,Mat Pedagógico,,Patrício Luã,,Gil Comércio,,,,17.898,Outros,Mat Pedagógico,Escola - Unidade,15 DIAS,Mat Pedagógico da Janela de ativos/ Aprovado por Ana Helena,03871,Depósito,1027130,,,,,,Patrício Luã,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,pH,pH Tijuca 1,10/01/2024,,40.345.365/0001-72,Mat Pedagógico,,Patrício Luã,,Gil Comércio,,,,12.087,Outros,Mat Pedagógico,Escola - Unidade,15 DIAS,Mat Pedagógico da Janela de ativos/ Aprovado por Ana Helena,03875,Depósito,1027135,,,,,,Patrício Luã,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,pH,pH Botafogo 1,10/01/2024,,40.345.365/0002-53,Mat Pedagógico,,Patrício Luã,,Gil Comércio,,,,3.305,Outros,Mat Pedagógico,Escola - Unidade,15 DIAS,Mat Pedagógico da Janela de ativos/ Aprovado por Ana Helena,03876,Depósito,1027137,,,,,,Patrício Luã,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,pH,pH Botafogo 2,10/01/2024,,40.345.365/0005-04,Mat Pedagógico,,Patrício Luã,,Gil Comércio,,,,13.131,Outros,Mat Pedagógico,Escola - Unidade,15 DIAS,Mat Pedagógico da Janela de ativos/ Aprovado por Ana Helena,03880,Depósito,1027139,,,,,,Patrício Luã,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,pH,pH Icaraí 2,10/01/2024,,40.345.365/0009-20,Mat Pedagógico,,Patrício Luã,,Gil Comércio,,,,2.672,Outros,Mat Pedagógico,Escola - Unidade,15 DIAS,Mat Pedagógico da Janela de ativos/ Aprovado por Ana Helena,03882,Depósito,1027142,,,,,,Patrício Luã,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,pH,pH Icaraí 3,10/01/2024,,40.345.365/0017-30,Mat Pedagógico,,Patrício Luã,,Gil Comércio,,,,6.257,Outros,Mat Pedagógico,Escola - Unidade,15 DIAS,Mat Pedagógico da Janela de ativos/ Aprovado por Ana Helena,03883,Depósito,1027143,,,,,,Patrício Luã,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,pH,pH Recreio,10/01/2024,,40.345.365/0014-97,Mat Pedagógico,,Patrício Luã,,Gil Comércio,,,,4.251,Outros,Mat Pedagógico,Escola - Unidade,15 DIAS,Mat Pedagógico da Janela de ativos/ Aprovado por Ana Helena,03884,Depósito,1027144,,,,,,Patrício Luã,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,pH,pH Barra,10/01/2024,,40.345.365/0006-87 e 40.345.365/0004-15,Mat Pedagógico,,Patrício Luã,,Gil Comércio,,,,112,Outros,Mat Pedagógico,Escola - Unidade,15 DIAS,Mat Pedagógico da Janela de ativos/ Aprovado por Ana Helena,869017,Depósito,1040656,,,,,,Patrícia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,pH,pH Barra,10/01/2024,,40.345.365/0006-87 e 40.345.365/0004-15,Mat Pedagógico,,Patrício Luã,,Gil Comércio,,,,84,Outros,Mat Pedagógico,Escola - Unidade,15 DIAS,Mat Pedagógico da Janela de ativos/ Aprovado por Ana Helena,869036,Depósito,1040653,,,,,,Patrícia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,pH,pH Barra,10/01/2024,,40.345.365/0006-87 e 40.345.365/0004-15,Mat Pedagógico,,Patrício Luã,,Gil Comércio,,,,84,Outros,Mat Pedagógico,Escola - Unidade,15 DIAS,Mat Pedagógico da Janela de ativos/ Aprovado por Ana Helena,869039,Depósito,1040702,,,,,,Patrícia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,pH,pH Barra,10/01/2024,,40.345.365/0006-87 e 40.345.365/0004-15,Mat Pedagógico,,Patrício Luã,,Gil Comércio,,,,112,Outros,Mat Pedagógico,Escola - Unidade,15 DIAS,Mat Pedagógico da Janela de ativos/ Aprovado por Ana Helena,869045,Depósito,1040705,,,,,,Patrícia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,pH,pH Barra,10/01/2024,,40.345.365/0006-87 e 40.345.365/0004-15,Mat Pedagógico,,Patrício Luã,,Gil Comércio,,,,112,Outros,Mat Pedagógico,Escola - Unidade,15 DIAS,Mat Pedagógico da Janela de ativos/ Aprovado por Ana Helena,869048,Depósito,1040707,,,,,,Patrícia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,pH,pH Barra,10/01/2024,,40.345.365/0006-87 e 40.345.365/0004-15,Mat Pedagógico,,Patrício Luã,,Gil Comércio,,,,112,Outros,Mat Pedagógico,Escola - Unidade,15 DIAS,Mat Pedagógico da Janela de ativos/ Aprovado por Ana Helena,869052,Depósito,1040710,,,,,,Patrícia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,pH,pH Barra,10/01/2024,,40.345.365/0006-87 e 40.345.365/0004-15,Mat Pedagógico,,Patrício Luã,,Gil Comércio,,,,84,Outros,Mat Pedagógico,Escola - Unidade,15 DIAS,Mat Pedagógico da Janela de ativos/ Aprovado por Ana Helena,869166,Depósito,1040716,,,,,,Patrícia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,,Salta Central Rodrigo de Brito,,,17.765.891/0001-70,cafeteira industrial,13806,Patrício Luã,,GRX,,,,"R$ 1.265,50",Ativos,Equipamento em Geral,,,,00605,Depósito,1029671,,,,,,Paula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janela ,Nosso CEI,Nosso CEI Romualdo,,,12.753.752/0001-02,Fitas e blocos,13.891,Julliene Serapião,,Pedras Campeãs,,,,3.745,Ativos,Mat. Esportivo,Escola - Unidade,á vista,Itens pendentes da janela,00656,Depósito,1026354,,,,,,,,,,,,1/,,-1,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Pensi,Pensi Lobo Torres,,,22.613.895/0010-63,ventilador,14323,,,GRX,,,,200,Ativos,Equipamento em Geral,Escola - Unidade,,,00646,Depósito,1030309,,,,,,Paula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1ª Janela de Ativos,Pensi,Pensi Tijuca 2,,,15.437.244/0001-03,,13914,,,GRX,,,,3.900,Ativos,Equipamento em Geral,Escola - Unidade,,,00692,Depósito,1030637,,,,,,Paula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Salta,Salta Central Rodrigo de Brito,,,17.765.891/0001-70,TVs,16001,,,GRX,,,,4.446,Ativos,Equipamento em Geral,Escola - Unidade,,,00704,Depósito,1030671,,,,,,Paula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NU,Anglo Alante,Anglo Alante Butantã,,,07.123.195/0001-06,claviculario,13919,,,GRX,,,,761,Ativos,Obra de Ampliação,Escola - Unidade,,,00749,Depósito,,,,,,,Paula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
